date	id_county	county	id_state	state	size	population	density	demography_1	no_cases	cases_m	cases_w	A00-A04	A05-A14	A15-A34	A35-A59	A60-A79	A80+	no_infected	no_deceased
2020-03-18	3153	LK Goslar	3.0	Niedersachsen	966.74	137563.0	142.2957568736165	0.27	5	3	0	0	0	0	4	1	0	5	0
2020-03-19	3153	LK Goslar	3.0	Niedersachsen	966.74	137563.0	142.2957568736165	0.27	2	1	0	0	0	2	0	0	0	2	0
2020-03-20	3153	LK Goslar	3.0	Niedersachsen	966.74	137563.0	142.2957568736165	0.27	2	0	0	0	0	1	0	1	0	2	0
2020-03-13	3154	LK Helmstedt	3.0	Niedersachsen	676.1099999999999	91720.0	135.65839878126346	0.23	2	2	0	0	0	1	1	0	0	2	0
2020-03-18	3154	LK Helmstedt	3.0	Niedersachsen	676.1099999999999	91720.0	135.65839878126346	0.23	5	5	0	0	0	4	1	0	0	5	0
2020-03-19	3154	LK Helmstedt	3.0	Niedersachsen	676.1099999999999	91720.0	135.65839878126346	0.23	1	1	0	0	0	0	0	0	0	1	0
2020-03-20	3154	LK Helmstedt	3.0	Niedersachsen	676.1099999999999	91720.0	135.65839878126346	0.23	3	2	0	0	0	1	2	0	0	3	0
2020-03-11	3155	LK Northeim	3.0	Niedersachsen	1268.76	133046.0	104.8630158580031	0.25	3	2	0	0	0	2	0	1	0	3	0
2020-03-12	3155	LK Northeim	3.0	Niedersachsen	1268.76	133046.0	104.8630158580031	0.25	1	1	0	0	0	1	0	0	0	1	0
2020-03-18	3155	LK Northeim	3.0	Niedersachsen	1268.76	133046.0	104.8630158580031	0.25	2	2	0	0	0	0	1	1	0	2	0
2020-03-19	3155	LK Northeim	3.0	Niedersachsen	1268.76	133046.0	104.8630158580031	0.25	3	1	0	0	0	1	2	0	0	3	0
2020-03-20	3155	LK Northeim	3.0	Niedersachsen	1268.76	133046.0	104.8630158580031	0.25	3	2	0	0	0	0	3	0	0	3	0
2020-03-13	3157	LK Peine	3.0	Niedersachsen	536.5	133368.0	248.5890027958993	0.21	2	0	0	0	0	1	1	0	0	2	0
2020-03-17	3157	LK Peine	3.0	Niedersachsen	536.5	133368.0	248.5890027958993	0.21	6	2	0	0	1	0	3	2	0	6	0
2020-03-18	3157	LK Peine	3.0	Niedersachsen	536.5	133368.0	248.5890027958993	0.21	1	0	0	0	0	0	1	0	0	1	0
2020-03-19	3157	LK Peine	3.0	Niedersachsen	536.5	133368.0	248.5890027958993	0.21	4	3	0	0	0	1	3	0	0	4	0
2020-03-17	3158	LK Wolfenbüttel	3.0	Niedersachsen	724.2899999999997	120437.0	166.28284250783528	0.23	1	0	0	0	0	0	0	1	0	1	0
2020-03-18	3158	LK Wolfenbüttel	3.0	Niedersachsen	724.2899999999997	120437.0	166.28284250783528	0.23	1	1	0	0	0	0	1	0	0	1	0
2020-03-19	3158	LK Wolfenbüttel	3.0	Niedersachsen	724.2899999999997	120437.0	166.28284250783528	0.23	1	1	0	0	0	0	1	0	0	1	0
2020-03-12	3159	LK Göttingen	3.0	Niedersachsen	1755.5300000000002	328036.0	186.85866946164398	0.22	4	2	0	0	0	0	4	0	0	4	0
2020-03-14	3159	LK Göttingen	3.0	Niedersachsen	1755.5300000000002	328036.0	186.85866946164398	0.22	2	1	0	0	0	0	2	0	0	2	0
2020-03-15	3159	LK Göttingen	3.0	Niedersachsen	1755.5300000000002	328036.0	186.85866946164398	0.22	2	2	0	0	0	0	2	0	0	2	0
