	kreis_id	kreis	size	population	bundesland_id	bundesland	factor
381	16054	Suhl, Stadt	103.03	35166	16	Thüringen	341
382	16055	Weimar, Stadt	84.48	64426	16	Thüringen	763
383	16056	Eisenach, Stadt	104.17	42710	16	Thüringen	410
384	16061	Eichsfeld	943.07	100645	16	Thüringen	107
385	16062	Nordhausen	713.92	84697	16	Thüringen	119
386	16063	Wartburgkreis	1307.46	123764	16	Thüringen	95
387	16064	Unstrut-Hainich-Kreis	979.68	103504	16	Thüringen	106
388	16065	Kyffhäuserkreis	1037.87	75818	16	Thüringen	73
389	16066	Schmalkalden-Meiningen	1210.74	122952	16	Thüringen	102
390	16067	Gotha	936.08	135521	16	Thüringen	145
391	16068	Sömmerda	806.86	70027	16	Thüringen	87
392	16069	Hildburghausen	938.43	63923	16	Thüringen	68
393	16070	Ilm-Kreis	843.73	108830	16	Thüringen	129
394	16071	Weimarer Land	804.49	82131	16	Thüringen	102
395	16072	Sonneberg	433.61	56361	16	Thüringen	130
396	16073	Saalfeld-Rudolstadt	1036.02	107368	16	Thüringen	104
